BURST: N=80 total_time=19.82s throughput=4.04 req/s  status_counts: 200=80 429=0 other=0
(0, 200, 0.249, None)
(1, 200, 0.224, None)
(2, 200, 0.247, None)
(3, 200, 0.251, None)
(4, 200, 0.233, None)
(5, 200, 0.236, None)
(6, 200, 0.236, None)
(7, 200, 0.278, None)
(8, 200, 0.243, None)
(9, 200, 0.246, None)
(10, 200, 0.217, None)
(11, 200, 0.221, None)
(12, 200, 0.255, None)
(13, 200, 0.224, None)
(14, 200, 0.402, None)
(15, 200, 0.258, None)
(16, 200, 0.237, None)
(17, 200, 0.218, None)
(18, 200, 0.256, None)
(19, 200, 0.222, None)
(20, 200, 0.257, None)
(21, 200, 0.228, None)
(22, 200, 0.335, None)
(23, 200, 0.231, None)
(24, 200, 0.236, None)
(25, 200, 0.249, None)
(26, 200, 0.228, None)
(27, 200, 0.261, None)
(28, 200, 0.219, None)
(29, 200, 0.254, None)
(30, 200, 0.245, None)
(31, 200, 0.224, None)
(32, 200, 0.237, None)
(33, 200, 0.265, None)
(34, 200, 0.228, None)
(35, 200, 0.227, None)
(36, 200, 0.231, None)
(37, 200, 0.244, None)
(38, 200, 0.226, None)
(39, 200, 0.224, None)
(40, 200, 0.256, None)
(41, 200, 0.233, None)
(42, 200, 0.253, None)
(43, 200, 0.261, None)
(44, 200, 0.233, None)
(45, 200, 0.28, None)
(46, 200, 0.269, None)
(47, 200, 0.273, None)
(48, 200, 0.235, None)
(49, 200, 0.245, None)
(50, 200, 0.24, None)
(51, 200, 0.262, None)
(52, 200, 0.253, None)
(53, 200, 0.26, None)
(54, 200, 0.278, None)
(55, 200, 0.304, None)
(56, 200, 0.245, None)
(57, 200, 0.267, None)
(58, 200, 0.239, None)
(59, 200, 0.246, None)
(60, 200, 0.235, None)
(61, 200, 0.255, None)
(62, 200, 0.226, None)
(63, 200, 0.25, None)
(64, 200, 0.217, None)
(65, 200, 0.256, None)
(66, 200, 0.241, None)
(67, 200, 0.258, None)
(68, 200, 0.23, None)
(69, 200, 0.25, None)
(70, 200, 0.252, None)
(71, 200, 0.247, None)
(72, 200, 0.242, None)
(73, 200, 0.224, None)
(74, 200, 0.23, None)
(75, 200, 0.235, None)
(76, 200, 0.286, None)
(77, 200, 0.243, None)
(78, 200, 0.255, None)
(79, 200, 0.258, None)
